ticker,fiscal_year,revenue,net_income,free_cash_flow,total_assets,total_equity
MSFT,2024,245122,88136,74071,512163,268477
MSFT,2023,211915,72361,59475,411976,206223
MSFT,2022,198270,72738,65149,364840,166542
MSFT,2021,168088,61271,56118,333779,141988
MSFT,2020,143015,44281,45234,301311,118304
